id,sku,name,type,current_stock,unit,created_at
dd9eb492-2a08-4cbf-8831-ff0883617dcc,BW25CM-DOUBLELAYER-2,Bubble Wrap Double Layer Clear 25cm x 100m (2 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
c79c954c-7b76-4a18-9303-9ba036a0fdd9,BW25CM-DOUBLELAYER-3,Bubble Wrap Double Layer Clear 25cm x 100m (3 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
1e0a56d8-1dbd-4be0-be4b-3e8dcdfe76c0,BW25CM-DOUBLELAYER-4,Bubble Wrap Double Layer Clear 25cm x 100m (4 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
ea4ac023-99b1-4ed0-8dd6-f0514fd9d195,BW33CM-1,Bubble Wrap Single Layer Clear 33cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
57b2b61a-40df-4501-ac71-30b7fc2f10bc,BW33CM-2,Bubble Wrap Single Layer Clear 33cm x 100m (2 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
dd06a6fd-094d-4ab9-b828-70c52b18e2d3,BW33CM-3,Bubble Wrap Single Layer Clear 33cm x 100m (3 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
2f6728ca-30fb-4912-bde4-82aabbccd60d,BW33CM-BLACK-1,Bubble Wrap Single Layer Black 33cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
ba42bc45-cc6d-4bf4-a062-ad965efd0815,BW33CM-BLACK-2,Bubble Wrap Single Layer Black 33cm x 100m (2 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
33546ae0-9e4b-4435-9d03-69e9cd9ec9d4,BW33CM-BLACK-3,Bubble Wrap Single Layer Black 33cm x 100m (3 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
d184c60f-9fb2-43a0-8629-7394a66cab17,BW33CM-DOUBLELAYER-1,Bubble Wrap Double Layer Clear 33cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
f72cea83-bf88-4736-b363-bad6221ddbc4,BW33CM-DOUBLELAYER-2,Bubble Wrap Double Layer Clear 33cm x 100m (2 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
de7b9ebd-96fb-4600-b535-73f9adae971c,BW33CM-DOUBLELAYER-3,Bubble Wrap Double Layer Clear 33cm x 100m (3 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
1a7a0eff-ff0e-4a70-895b-9d3f24909e52,BW33CM-DOUBLELAYER-BLACK-1,Bubble Wrap Double Layer Black 33cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
ccf74765-934d-42f0-84c5-ededd652649c,BW33CM-DOUBLELAYER-BLACK-2,Bubble Wrap Double Layer Black 33cm x 100m (2 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
f144eb2e-7b7f-44eb-99b2-23979623ee30,BW33CM-DOUBLELAYER-BLACK-3,Bubble Wrap Double Layer Black 33cm x 100m (3 units),product,0,Unit,2025-12-23T14:08:07.21877+00:00
011a7265-8bb5-470d-954b-0989c82d2caa,BW-BLACK,Bubble Wrap Single Layer Black 1m x 100m (HITAM FULL),product,0,Roll,2025-12-23T14:08:07.21877+00:00
7d3a8bab-21bc-40d6-ae2f-431890d55236,BW-BLACK-50CM-1,Bubble Wrap Single Layer Black 50cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
80b02dde-4764-4f28-8c19-4da38ab52b3e,BW-BLACK-50CM-2,Bubble Wrap Single Layer Black 50cm x 100m (2units) (HITAM HALF),product,0,Unit,2025-12-23T14:08:07.21877+00:00
c6c82b8a-1d59-4d1d-a6c1-469080187ac9,BW-CLEAR,Bubble Wrap Single Layer Clear 1m x 100m (MERAH),product,0,Roll,2025-12-23T14:08:07.21877+00:00
98317e1e-ded0-43b7-a81f-c132f1c5c304,BW-CLEAR-50CM-1,Bubble Wrap Single Layer Clear 50cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
ddced1cf-c4ac-48c1-8435-161fd167044a,BW-CLEAR-50CM-2,Bubble Wrap Single Layer Clear 50cm x 100m (2 units) (OREN),product,0,Unit,2025-12-23T14:08:07.21877+00:00
18be6a02-637e-425e-882e-635272f94186,BW-DOUBLELAYER-50CM-1,Bubble Wrap Double Layer Clear 50cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
b3808fc5-306c-4353-9eb8-139b16143161,BW-DOUBLELAYER-50CM-2,Bubble Wrap Double Layer Clear 50cm x 100m (2 units) (DL HALF),product,0,Unit,2025-12-23T14:08:07.21877+00:00
03081c66-9315-4b11-8d93-6d084981826d,BW-DOUBLELAYER-BLACK,Bubble Wrap Double Layer Black 1m x 100m (DL FULL HITAM ),product,0,Roll,2025-12-23T14:08:07.21877+00:00
893e6687-a9ee-4042-8389-74c002855b89,BW-DOUBLELAYERBLACK-50CM-1,Bubble Wrap Double Layer Black 50cm x 100m (1 unit),product,0,Unit,2025-12-23T14:08:07.21877+00:00
b2d925ea-5171-4340-8a23-6bcece6903aa,BW-DOUBLELAYERBLACK-50CM-2,Bubble Wrap Double Layer Black 50cm x 100m (2 units) (DL HALF),product,0,Unit,2025-12-23T14:08:07.21877+00:00
62133a64-f300-49fe-b981-9e545858dfe0,BW-DOUBLELAYER-CLEAR,Bubble Wrap Double Layer Clear 1m x 100m (DL FULL),product,0,Roll,2025-12-23T14:08:07.21877+00:00
54fa3a9b-42fe-4fde-91a0-d506c574e9a7,BW-SV/GY,Bubble Wrap Single Layer Silver/Grey 1m x 100m (SILVER/GREY),product,0,Roll,2025-12-23T14:08:07.21877+00:00
41d55379-3060-450b-9403-e2e29e858563,SF-22KG-BLACK,Stretch Film 2.2kg 200core 23Micron (Black),product,0,Roll,2025-12-23T14:08:07.21877+00:00
a5b7372d-f34c-4d53-8b18-565af64c6f96,SF-22KG-CLEAR,Stretch Film 2.2kg 200Core 23Micron (Clear),product,0,Roll,2025-12-23T14:08:07.21877+00:00
54bbfe18-c0f7-4b0c-b4f2-a61bad858551,SF-BLACK-SATUKOTAK6ROLL-22,Stretch Film 2.2kg 200core 23Micron (Black) (One Carton Six Rolls),product,0,Carton,2025-12-23T14:08:07.21877+00:00
74679212-3308-4044-8959-071d5e5796aa,SF-CLEAR-SATUKOTAK6ROLL-22,Stretch Film 2.2kg 200core 23Micron (Clear) (One Carton Six Rolls),product,0,Carton,2025-12-23T14:08:07.21877+00:00
6fced09d-4b63-40e2-af72-f7fa2ed4e155,SF-GREY-SATUKOTAK6ROLL-22,Stretch Film 2.2kg 200core 23Micron (Silver/Grey) (One Carton Six Rolls),product,0,Carton,2025-12-23T14:08:07.21877+00:00
34817007-bc70-4301-afdc-f701b9feef59,BABYROLL-BLACK,Baby Roll Mini Stretch Film 100mm x 250gram Protective Film (BLACK),product,0,Roll,2025-12-23T14:08:07.21877+00:00
32fcc1a9-f1ad-4609-8a54-a74f2f107ae7,BABYROLL-CLEAR,Baby Roll Mini Stretch Film 100mm x 250gram Protective Film (CLEAR),product,0,Roll,2025-12-23T14:08:07.21877+00:00
60826f4e-4794-43f3-aeab-4acb367a48a1,PROD-BW-SL20-CLR-GRN,Bubble Wrap Single Clear 20cm (5 Rolls) (Green),product,0,roll,2025-12-23T18:12:06.669347+00:00
c6e942c4-d3f0-4b40-9ca6-8441b3a4d81a,PROD-BW-DL25-CLR-BLU,Bubble Wrap Double Clear 25cm (4 Rolls) (Blue),product,0,roll,2025-12-23T21:55:46.183419+00:00
5919c1f4-95e4-4bbd-93c6-bf8b33276533,PROD-BW-SL50-CLR-ORG,Bubble Wrap Single Clear 50cm (2 Rolls) (Orange),product,0,roll,2025-12-24T00:08:44.533284+00:00
abc35064-4164-4ab4-830a-7a2f4c8b0704,PROD-BW-SL50-BLK-PNK,Bubble Wrap Single Black 50cm (2 Rolls) (Pink),product,0,roll,2025-12-24T00:08:51.671625+00:00
